kind,crit,sign,magnitude,count
S,3,1,3.0,8977
S,0,1,3.0,5710
S,4,1,1.0,4161
S,3,1,1.0,3962
S,0,1,2.0,2160
S,3,1,2.0,1726
S,4,1,2.0,1548
S,1,1,1.0,1253
S,1,1,2.0,1152
S,2,1,1.0,969
S,2,1,2.0,924
S,0,1,1.0,903
w,2,1,2.0,831
S,4,1,3.0,805
S,1,1,3.0,645
S,1,-1,1.0,633
S,2,-1,1.0,611
S,2,-1,3.0,590
S,1,-1,3.0,550
S,4,-1,2.0,528
S,2,-1,2.0,503
S,1,-1,2.0,494
S,2,1,3.0,481
S,0,-1,3.0,469
S,4,-1,1.0,431
S,4,-1,3.0,417
S,0,-1,2.0,406
S,0,-1,1.0,370
w,2,1,1.0,368
S,3,-1,2.0,357
S,3,-1,1.0,327
S,3,-1,3.0,303
w,2,1,3.0,183
w,4,1,1.0,171
w,3,1,1.0,124
w,3,1,3.0,113
w,4,1,2.0,110
w,3,1,2.0,107
w,0,1,2.0,106
w,0,1,3.0,96
w,1,1,2.0,95
w,4,-1,2.0,95
w,0,-1,3.0,89
w,0,-1,2.0,88
w,3,-1,2.0,83
w,1,1,1.0,82
w,4,-1,1.0,81
w,2,-1,3.0,78
w,0,1,1.0,78
w,1,-1,2.0,76
w,2,-1,1.0,74
w,1,-1,1.0,72
w,4,-1,3.0,72
w,4,1,3.0,71
w,2,-1,2.0,69
w,1,1,3.0,67
w,1,-1,3.0,65
w,3,-1,3.0,63
w,3,-1,1.0,55
w,0,-1,1.0,53
