condition,rounds_to_consensus,not_converged,rank_reversal_count,CI_area,final_consensus_gap,w_update_reject_rate
Base,50,1,22,0.5326717312605816,0.23517744385878805,0.0
Base,50,1,41,0.32503898379610696,0.23800822075069333,0.0
Base,50,1,21,0.6552176249304648,0.3453752315988837,0.0
Base,7,0,4,0.03818969248681259,0.15437129059323404,0.0
Base,50,1,26,1.292756531996016,0.21587313670337843,0.0
Base,38,0,20,0.48038260067093247,0.12226731431076832,0.0
Base,50,1,39,0.06164582781718159,0.3478737737879839,0.0
Base,50,1,43,1.9235399346059066,0.2569247338549995,0.0
Base,3,0,2,0.0058844627286446915,0.1636749731384948,0.0
Base,50,1,13,0.8880383138903817,0.16607735755831327,0.0
Base,50,1,50,1.0641046247469068,0.36568228509716827,0.0
Base,39,0,24,0.12367982104855685,0.15698969344245653,0.0
Base,11,0,1,0.015268757877898673,0.15121151334549135,0.0
Base,11,0,9,0.061756409878676304,0.14279218805898877,0.0
Base,10,0,10,0.0,0.15046524070976086,0.0
Base,50,1,12,0.5221307642236297,0.36145835346067684,0.0
Base,8,0,13,0.04561023191110723,0.1481618356126265,0.0
Base,50,1,44,0.8664331635116956,0.19924005948671084,0.0
Base,43,0,2,0.11358302176137201,0.16096836940211207,0.0
Base,50,1,40,0.6504653212675182,0.2400003986857402,0.0
Base,50,1,48,0.08633901055951929,0.2794356929415156,0.0
Base,50,1,29,0.4725776824002746,0.2098637520771917,0.0
Base,50,1,9,0.21057979837351679,0.2096621029632451,0.0
Base,50,1,70,0.8248520057618436,0.34949886541087,0.0
M1,50,1,46,0.5713737010623516,0.20022808327542552,0.0
M1,50,1,21,0.5789288460864223,0.28595543333808165,0.0
M1,50,1,52,0.10835862136603183,0.24545456133010432,0.0
M1,50,1,2,0.4493472754123056,0.17376299828197575,0.0
M1,12,0,9,0.012489637855081481,0.1472098718322047,0.0
M1,50,1,6,0.8234737994641335,0.23137833674257888,0.0
M1,22,0,25,0.07071354668907268,0.15911921011764857,0.0
M1,3,0,5,0.004656577136332984,0.15710526071457237,0.0
M1,50,1,19,0.3761674379424893,0.21762081217801774,0.0
M1,50,1,5,0.20774891535455106,0.21720950134679268,0.0
M1,50,1,45,0.3160386711940813,0.18307044882052673,0.0
M1,13,0,9,0.021696386939609406,0.1509317971074112,0.0
M1,50,1,21,0.5436946422055904,0.3138381281979157,0.0
M1,42,0,15,0.48578583316208956,0.16208226537080322,0.0
M1,50,1,33,0.9624655897647487,0.18632347790094356,0.0
M1,50,1,30,1.320191326405494,0.18543985311941075,0.0
M1,50,1,25,0.3555081759594665,0.2653899506097061,0.0
M1,50,1,15,0.8127748838607737,0.13218191577988497,0.0
M1,11,0,7,0.036974449728645234,0.15012224760929307,0.0
M1,50,1,18,0.199440033423355,0.26622027536938575,0.0
M1,50,1,14,0.11155793646158499,0.15131268310837714,0.0
M1,12,0,10,0.04160579946152509,0.1561941214169248,0.0
M1,40,0,25,0.5601402119519547,0.1557264272045488,0.0
M1,50,1,7,0.2841985658417967,0.24644487874577128,0.0
M2,50,1,45,0.0,0.17692636044779902,0.0
M2,50,1,55,0.0,0.23465169569818575,0.0
M2,50,1,47,0.0,0.23924279637240894,0.0
M2,50,1,18,0.0,0.2700730604382626,0.0
M2,50,1,11,0.0,0.26199784886980765,0.0
M2,9,0,3,0.0,0.15445113976479546,0.0
M2,50,1,56,0.0,0.272872026972892,0.0
M2,50,1,35,0.0,0.23499700888958291,0.0
M2,50,1,19,0.0,0.21895505043794258,0.0
M2,50,1,35,0.0,0.233781844475289,0.0
M2,50,1,36,0.0,0.18547728768651514,0.0
M2,50,1,16,0.0,0.27764678862674985,0.0
M2,50,1,43,0.0,0.29797065156926117,0.0
M2,12,0,8,0.0,0.15057579319305833,0.0
M2,50,1,50,0.0,0.1781205590427824,0.0
M2,50,1,36,0.0,0.27625771667621624,0.0
M2,50,1,47,0.0,0.1959455194786563,0.0
M2,50,1,16,0.0,0.17002301896391225,0.0
M2,9,0,3,0.0,0.15002365696372302,0.0
M2,50,1,18,0.0,0.1875300614422682,0.0
M2,50,1,10,0.0,0.16386525723460788,0.0
M2,50,1,10,0.0,0.19208493574436103,0.0
M2,50,1,54,0.0,0.18685602526873696,0.0
M2,50,1,11,0.0,0.15757244040999377,0.0
MSC,50,1,38,0.0,0.16062061511323916,0.0
MSC,11,0,16,0.0,0.15174645240084433,0.0
MSC,10,0,4,0.0,0.15427559159855958,0.0
MSC,2,0,2,0.0,0.21442927877526166,0.0
MSC,50,1,28,0.0,0.2747628167696462,0.0
MSC,50,1,13,0.0,0.15224454466365595,0.0
MSC,6,0,3,0.0,0.16014515884738909,0.0
MSC,50,1,44,0.0,0.24390510379004668,0.0
MSC,50,1,34,0.0,0.25306717026223596,0.0
MSC,50,1,20,0.0,0.18274725749007972,0.0
MSC,2,0,3,0.0,0.20795258311260695,0.0
MSC,50,1,53,0.0,0.17179960303303365,0.0
MSC,7,0,3,0.0,0.1587572070710792,0.0
MSC,50,1,37,0.0,0.24098237124349686,0.0
MSC,2,0,2,0.0,0.18178856522488127,0.0
MSC,12,0,11,0.0,0.1300262761813444,0.0
MSC,18,0,14,0.0,0.15235438898164466,0.0
MSC,50,1,15,0.0,0.1920198190767126,0.0
MSC,50,1,34,0.0,0.2271946895657701,0.0
MSC,3,0,5,0.0,0.16785731070752674,0.0
MSC,12,0,13,0.0,0.1558153446945821,0.0
MSC,50,1,19,0.0,0.17526982425116727,0.0
MSC,50,1,18,0.0,0.25282822189778525,0.0
MSC,50,1,26,0.0,0.1678641241705396,0.0
NoGossip,50,1,13,1.3024502112954153,0.9023174347862607,0.0
NoGossip,50,1,21,0.8889541144795524,1.1215319880046783,0.0
NoGossip,50,1,25,0.13147101690380758,0.9428698836045049,0.0
NoGossip,50,1,15,1.7416844483516598,0.813905821186314,0.0
NoGossip,50,1,21,0.11366632307063615,0.9047440446173723,0.0
NoGossip,50,1,21,1.0714533867461842,0.6263511709679068,0.0
NoGossip,50,1,17,0.2672897702288555,0.9744980668371923,0.0
NoGossip,50,1,8,0.7234838091230469,0.895185932559308,0.0
NoGossip,50,1,20,0.8807742433557197,0.9622121784916947,0.0
NoGossip,50,1,10,0.2949996539875933,1.14499080169095,0.0
NoGossip,50,1,10,0.6942074753246357,0.9390191502752441,0.0
NoGossip,50,1,17,0.29747294571082966,0.952758248140038,0.0
NoGossip,50,1,11,0.7724190952630342,0.902992441616185,0.0
NoGossip,50,1,17,0.7411307508484899,0.9986738206012811,0.0
NoGossip,50,1,17,0.6688350195632949,0.753822363801376,0.0
NoGossip,50,1,8,0.392009222355165,1.0758989498744254,0.0
NoGossip,50,1,19,0.24295172711238722,0.9600098739507562,0.0
NoGossip,50,1,16,0.12175983147633518,0.8074435125440544,0.0
NoGossip,50,1,7,0.10462028539799231,1.23248872787125,0.0
NoGossip,50,1,34,0.9592336912385461,0.795822308801336,0.0
NoGossip,50,1,15,0.5685395216722031,0.7194003209942,0.0
NoGossip,50,1,23,1.033264117310865,0.6850723316832966,0.0
NoGossip,50,1,18,0.8982438569148963,0.7473465028996717,0.0
NoGossip,50,1,21,0.377755320538345,0.8025920363610556,0.0
Wdirect_MSC,5,0,6,0.0,0.034097046113870676,0.0
Wdirect_MSC,2,0,3,0.0,0.1304420319046309,0.0
Wdirect_MSC,3,0,3,0.0,0.07865945961712881,0.0
Wdirect_MSC,3,0,4,0.0,0.10971402985024259,0.0
Wdirect_MSC,4,0,5,0.0,0.06343685011644203,0.0
Wdirect_MSC,3,0,2,0.0,0.08992692440013782,0.0
Wdirect_MSC,4,0,6,0.0,0.05154655997757818,0.0
Wdirect_MSC,3,0,3,0.0,0.08411489272932592,0.0
Wdirect_MSC,3,0,3,0.0,0.10654385301639872,0.0
Wdirect_MSC,3,0,3,0.0,0.0752917328986485,0.0
Wdirect_MSC,4,0,3,0.0,0.05153499833247492,0.0
Wdirect_MSC,3,0,3,0.0,0.09772916505636045,0.0
Wdirect_MSC,4,0,4,0.0,0.058247021856299354,0.0
Wdirect_MSC,3,0,2,0.0,0.11400639582381034,0.0
Wdirect_MSC,3,0,3,0.0,0.07141582735801745,0.0
Wdirect_MSC,3,0,2,0.0,0.11051773255739919,0.0
Wdirect_MSC,2,0,2,0.0,0.11111992088679132,0.0
Wdirect_MSC,4,0,2,0.0,0.04485967793092188,0.0
Wdirect_MSC,2,0,2,0.0,0.14659036840835166,0.0
Wdirect_MSC,3,0,2,0.0,0.08016780404369614,0.0
Wdirect_MSC,3,0,3,0.0,0.13740689479130674,0.0
Wdirect_MSC,3,0,1,0.0,0.12091759157037178,0.0
Wdirect_MSC,4,0,2,0.0,0.051605970765636076,0.0
Wdirect_MSC,3,0,2,0.0,0.10555378393656605,0.0
