run,phase,sum_return,sum_steps,mean_tau,mean_ci_s,mean_gini
runs/20250808_083059,train,0.000000,0,0.713619,0.058116,0.084465
runs/20250808_083712,train,-9.487271,990,0.702213,0.065203,0.107890
runs/20250808_083728,train,-6.825828,723,0.697131,0.071753,0.111558
runs/20250808_085425,train,-7.225076,750,0.706209,0.064741,0.109672
runs/20250808_085430,train,-2.250000,225,0.709416,0.102541,0.132200
runs/20250808_085433,train,-9.488616,1000,0.705421,0.020881,0.101901
runs/20250808_090229,train,-82.363237,8599,0.698187,0.066261,0.114035
runs/20250808_090857,train,-77.193620,8049,0.700553,0.067656,0.109748
runs/20250808_090920,train,-19.780000,1978,0.698918,0.104203,0.100289
runs/20250808_090925,train,-37.970620,4000,0.699605,0.023550,0.108489
runs/20250808_091050,train,-9.507153,997,0.706327,0.068443,0.112695
runs/20250808_091346,train,-53.990403,5614,0.693732,0.065118,0.111236
runs/20250808_091355,train,-24.000000,2400,0.699605,0.107024,0.108489
runs/20250808_091359,train,-27.991654,2995,0.701615,0.029027,0.111792
runs/20250808_110312,train,-67.780388,7095,0.695433,0.068386,0.108978
runs/20250808_110320,train,-84.809530,8828,0.696195,0.066706,0.108904
runs/20250808_110328,train,-84.592098,8807,0.699487,0.066283,0.114019
runs/20250808_110337,train,-82.272397,8578,0.700130,0.066806,0.108409
runs/20250808_110345,train,-89.175377,9276,0.698969,0.067503,0.114321
runs/20250808_111642,train,-4.462790,464,0.740380,0.064911,0.116533
runs/20250808_111827,train,-78.071755,8148,0.696591,0.067023,0.112416
runs/20250808_111836,train,-84.488888,8795,0.697558,0.066831,0.110962
runs/20250808_111845,train,-10.650788,1107,0.673128,0.064612,0.096676
runs/20250808_122309,train,-0.010000,1,0.871127,0.117032,0.044043
runs/20250808_122535,train,-0.010000,1,0.871127,0.117032,0.044043
runs/20250808_122921,train,-35.102115,3789,0.697030,0.079195,0.109847
runs/20250808_122929,train,-39.633222,4259,0.694789,0.077359,0.107950
runs/20250808_122938,train,-32.844618,3572,0.694782,0.080037,0.112682
runs/20250808_122946,train,-38.209745,4122,0.697202,0.079325,0.109560
runs/20250808_122955,train,-29.877457,3246,0.698205,0.082082,0.110166
runs/20250808_123324,train,-34.209056,3695,0.698201,0.079747,0.110372
runs/20250808_123332,train,-39.603140,4265,0.697786,0.077319,0.108907
runs/20250808_123341,train,-34.045785,3689,0.694844,0.080244,0.108132
runs/20250808_123348,train,-37.525577,4047,0.694863,0.079814,0.112358
runs/20250808_123357,train,-36.238613,3914,0.694509,0.079810,0.115253
runs/eval_20250808_131512,eval,-18.589849,1998,0.691569,0.077060,0.113980
runs/eval_20250808_131518,eval,-60.000000,6000,0.693735,0.105428,0.114736
runs/eval_20250808_131522,eval,-64.419861,6923,0.697070,0.028215,0.116545
